       EEG1       EEG2       EEG3       EEG4
       -1.1      -17.4       -4.6        3.8
       -1.6       -9.0       -5.8        8.9
       -4.4       -0.9       -8.6       13.8
       -6.0        0.6      -12.1       17.1
       -3.5       -3.5      -12.9       14.6
        3.3       -6.8       -9.4        6.3
       10.0       -7.3       -3.9       -1.5
       12.0       -8.5        1.0       -4.3
        7.8      -11.3        4.3       -2.6
       -0.1      -12.1        6.4       -1.1
       -7.1      -10.8        8.4       -1.6
      -11.1      -10.4       10.0       -1.1
      -12.5      -12.5       10.9        0.8
      -11.4      -14.6       11.4        1.6
       -8.1      -15.0       12.1        2.1
       -3.8      -14.5       13.6        3.5
        0.0      -13.5       15.1        4.9
        1.1      -12.5       15.0        5.5
       -1.3      -12.9       12.3        6.5
       -4.9      -14.9        6.9        6.0
       -5.5      -16.6        0.4       -0.4
        0.6      -15.9       -5.9       -9.1
       12.6      -12.3      -11.5      -13.8
       26.4       -6.8      -15.9      -13.6
       38.3        0.5      -17.9      -10.6
       45.1        7.5      -17.1       -7.0
       44.1       10.5      -15.4       -4.4
       36.3        8.6      -14.4       -2.1
       26.0        5.6      -14.0       -0.4
       18.1        3.6      -13.3       -0.4
       16.3        1.9      -11.3       -0.9
       19.5       -1.3       -7.8        0.3
       21.4       -7.0       -4.1        2.3
       17.8      -13.8       -1.0        4.3
       10.0      -17.8        0.9        3.6
        1.3      -17.0        0.4       -1.6
       -4.9      -12.6       -0.9       -6.5
       -4.6       -6.6       -0.9       -6.5
        2.6       -1.6        0.6       -2.6
       13.3        0.9        2.6        1.0
       21.8        2.0        3.9        1.4
       24.8        2.8        3.4       -0.6
       23.4        3.0        1.8       -2.8
       20.3        3.1       -0.4       -3.0
       17.6        4.3       -2.3        0.1
       16.5        5.3       -2.9        4.0
       14.9        3.8       -2.8        4.3
       12.0        0.5       -2.8        2.5
       11.0       -0.4       -2.6        2.4
       14.3        5.3       -3.3        0.4
       19.8       16.0       -5.8       -4.6
       23.5       26.3       -9.5       -6.6
       23.5       32.0      -13.6       -2.4
       19.9       32.6      -17.0        5.4
       13.3       29.6      -18.3       10.8
        5.0       23.8      -16.8       11.5
       -2.5       14.6      -13.5       10.5
       -7.3        2.5      -10.3        9.8
       -7.3       -8.9       -7.3        8.4
       -3.1      -15.8       -3.8        7.3
       -0.4      -20.1       -1.1        8.3
       -3.0      -25.0        0.1        7.3
       -9.5      -29.0        1.4        0.5
      -15.6      -29.9        4.3       -7.4
      -17.6      -27.5        8.4      -11.1
      -15.1      -23.0       12.1      -10.4
      -10.4      -17.3       15.0       -7.5
       -6.0      -10.6       16.4       -6.0
